mfc/s,num_threads,vector_size
3.33333, 1, 200000
3.33333, 2, 200000
3.33333, 3, 200000
2.85714, 4, 200000
2.22222, 5, 200000
2.22222, 6, 200000
2.22222, 7, 200000
1.81818, 8, 200000
1.66667, 9, 200000
1.53846, 10, 200000
1.53846, 11, 200000
1.25, 12, 200000
1.33333, 13, 200000
1.17647, 14, 200000
1.25, 15, 200000
0.47619, 16, 200000
8, 1, 400000
5.71429, 2, 400000
5.71429, 3, 400000
5, 4, 400000
4.44444, 5, 400000
4, 6, 400000
4, 7, 400000
3.63636, 8, 400000
3.63636, 9, 400000
2.5, 10, 400000
3.07692, 11, 400000
3.07692, 12, 400000
2.22222, 13, 400000
2.35294, 14, 400000
2.10526, 15, 400000
1.14286, 16, 400000
12, 1, 600000
8.57143, 2, 600000
8.57143, 3, 600000
7.5, 4, 600000
6.66667, 5, 600000
6, 6, 600000
5.45455, 7, 600000
5, 8, 600000
4.61538, 9, 600000
4.61538, 10, 600000
3.75, 11, 600000
4, 12, 600000
3.52941, 13, 600000
3.75, 14, 600000
3.15789, 15, 600000
3.33333, 16, 600000
13.3333, 1, 800000
10, 2, 800000
10, 3, 800000
8.88889, 4, 800000
8, 5, 800000
8, 6, 800000
7.27273, 7, 800000
6.15385, 8, 800000
6.15385, 9, 800000
6.15385, 10, 800000
2.96296, 11, 800000
3.2, 12, 800000
4.44444, 13, 800000
4.44444, 14, 800000
4.21053, 15, 800000
1.81818, 16, 800000
16.6667, 1, 1000000
16.6667, 2, 1000000
12.5, 3, 1000000
12.5, 4, 1000000
10, 5, 1000000
9.09091, 6, 1000000
9.09091, 7, 1000000
7.69231, 8, 1000000
7.69231, 9, 1000000
6.66667, 10, 1000000
7.14286, 11, 1000000
6.25, 12, 1000000
3.33333, 13, 1000000
5.88235, 14, 1000000
4.54545, 15, 1000000
2.7027, 16, 1000000
20, 1, 1200000
15, 2, 1200000
13.3333, 3, 1200000
12, 4, 1200000
12, 5, 1200000
10.9091, 6, 1200000
10, 7, 1200000
6, 8, 1200000
9.23077, 9, 1200000
8, 10, 1200000
7.05882, 11, 1200000
7.05882, 12, 1200000
3.87097, 13, 1200000
7.05882, 14, 1200000
5.45455, 15, 1200000
4.28571, 16, 1200000
20, 1, 1400000
15.5556, 2, 1400000
14, 3, 1400000
15.5556, 4, 1400000
12.7273, 5, 1400000
12.7273, 6, 1400000
14, 7, 1400000
10.7692, 8, 1400000
10, 9, 1400000
9.33333, 10, 1400000
7.77778, 11, 1400000
3.25581, 12, 1400000
6.66667, 13, 1400000
8.23529, 14, 1400000
7.36842, 15, 1400000
7, 16, 1400000
20, 1, 1600000
17.7778, 2, 1600000
20, 3, 1600000
16, 4, 1600000
14.5455, 5, 1600000
13.3333, 6, 1600000
12.3077, 7, 1600000
12.3077, 8, 1600000
10.6667, 9, 1600000
10.6667, 10, 1600000
10, 11, 1600000
