mfc/s,num_threads,vector_size
30.6124, 1, 50000
35.0304, 2, 50000
39.4647, 3, 50000
38.1277, 4, 50000
36.048, 5, 50000
35.3096, 6, 50000
35.553, 7, 50000
34.6503, 8, 50000
32.4452, 9, 50000
33.7307, 10, 50000
31.9704, 11, 50000
29.8924, 12, 50000
18.206, 13, 50000
27.8026, 14, 50000
11.636, 15, 50000
19.2059, 16, 50000
51.6434, 1, 100000
63.9376, 2, 100000
69.1407, 3, 100000
68.8531, 4, 100000
73.4211, 5, 100000
64.7369, 6, 100000
67.935, 7, 100000
65.7758, 8, 100000
65.69, 9, 100000
62.267, 10, 100000
64.0352, 11, 100000
65.4746, 12, 100000
22.7704, 13, 100000
58.1277, 14, 100000
43.3654, 15, 100000
60.9283, 16, 100000
64.0004, 1, 150000
87.8204, 2, 150000
94.5752, 3, 150000
99.8908, 4, 150000
102.317, 5, 150000
94.7984, 6, 150000
94.3813, 7, 150000
98.9638, 8, 150000
90.0924, 9, 150000
93.7065, 10, 150000
79.8847, 11, 150000
89.7668, 12, 150000
74.1859, 13, 150000
25.4396, 14, 150000
78.1936, 15, 150000
75.9226, 16, 150000
73.2054, 1, 200000
99.7535, 2, 200000
123.199, 3, 200000
136.615, 4, 200000
119.854, 5, 200000
123.86, 6, 200000
136.334, 7, 200000
127.119, 8, 200000
75.349, 9, 200000
120.342, 10, 200000
123.102, 11, 200000
112.973, 12, 200000
34.6222, 13, 200000
46.9485, 14, 200000
75.0189, 15, 200000
28.267, 16, 200000
79.1737, 1, 250000
113.622, 2, 250000
135.72, 3, 250000
156.769, 4, 250000
156.123, 5, 250000
152.38, 6, 250000
152.906, 7, 250000
157.035, 8, 250000
151.792, 9, 250000
135.726, 10, 250000
128.623, 11, 250000
133.282, 12, 250000
71.9484, 13, 250000
149.221, 14, 250000
129.331, 15, 250000
57.5729, 16, 250000
84.6422, 1, 300000
124.567, 2, 300000
154.114, 3, 300000
162.956, 4, 300000
185.297, 5, 300000
164.411, 6, 300000
177.867, 7, 300000
181.232, 8, 300000
187.851, 9, 300000
149.382, 10, 300000
176.256, 11, 300000
152.594, 12, 300000
70.3572, 13, 300000
156.303, 14, 300000
80.3062, 15, 300000
162.047, 16, 300000
86.8557, 1, 350000
132.811, 2, 350000
162.486, 3, 350000
174.936, 4, 350000
193.975, 5, 350000
185.777, 6, 350000
203.062, 7, 350000
206.568, 8, 350000
198.98, 9, 350000
186.666, 10, 350000
216.627, 11, 350000
184.701, 12, 350000
156.387, 13, 350000
162.091, 14, 350000
176.861, 15, 350000
173.729, 16, 350000
88.4035, 1, 400000
142.232, 2, 400000
180.103, 3, 400000
211.123, 4, 400000
213.641, 5, 400000
219.339, 6, 400000
215.636, 7, 400000
198.704, 8, 400000
229.762, 9, 400000
232.286, 10, 400000
140.09, 11, 400000
176.701, 12, 400000
195.95, 13, 400000
195.691, 14, 400000
175, 15, 400000
207.545, 16, 400000
94.8365, 1, 450000
147.092, 2, 450000
188.235, 3, 450000
206.262, 4, 450000
235.234, 5, 450000
241.721, 6, 450000
243.195, 7, 450000
242.716, 8, 450000
212.064, 9, 450000
253.949, 10, 450000
204.143, 11, 450000
211.501, 12, 450000
211.762, 13, 450000
215.765, 14, 450000
222.479, 15, 450000
100.755, 16, 450000
96.7812, 1, 500000
152.624, 2, 500000
197.132, 3, 500000
226.785, 4, 500000
235.151, 5, 500000
255.979, 6, 500000
261.143, 7, 500000
261.871, 8, 500000
262.385, 9, 500000
265.116, 10, 500000
280.894, 11, 500000
274.532, 12, 500000
111.922, 13, 500000
181.509, 14, 500000
235.151, 15, 500000
102.865, 16, 500000
95.8068, 1, 550000
160.132, 2, 550000
199.47, 3, 550000
240.633, 4, 550000
259.432, 5, 550000
269.914, 6, 550000
284.623, 7, 550000
278.63, 8, 550000
289.977, 9, 550000
262.114, 10, 550000
281.772, 11, 550000
247.076, 12, 550000
231.52, 13, 550000
167.443, 14, 550000
123.976, 15, 550000
251.796, 16, 550000
98.3719, 1, 600000
