mfc/s,num_threads,vector_size
113.09, 1, 50000
205.355, 2, 50000
245.806, 3, 50000
294.147, 4, 50000
364.27, 5, 50000
378.274, 6, 50000
333.731, 7, 50000
324.895, 8, 50000
442.402, 9, 50000
395.851, 10, 50000
452.899, 11, 50000
412.915, 12, 50000
315.321, 13, 50000
304.402, 14, 50000
280.749, 15, 50000
251.286, 16, 50000
115.045, 1, 100000
222.174, 2, 100000
341.485, 3, 100000
411.242, 4, 100000
430.841, 5, 100000
556.87, 6, 100000
554.526, 7, 100000
674.421, 8, 100000
645.338, 9, 100000
610.445, 10, 100000
530.43, 11, 100000
663.322, 12, 100000
728.137, 13, 100000
711.761, 14, 100000
606.065, 15, 100000
727.822, 16, 100000
127.82, 1, 150000
236.401, 2, 150000
335.668, 3, 150000
443.194, 4, 150000
575.13, 5, 150000
500.924, 6, 150000
808.697, 7, 150000
877.186, 8, 150000
830.742, 9, 150000
850.859, 10, 150000
797.361, 11, 150000
875.726, 12, 150000
974.283, 13, 150000
883.87, 14, 150000
820.203, 15, 150000
743.261, 16, 150000
118.42, 1, 200000
247.949, 2, 200000
366.672, 3, 200000
397.558, 4, 200000
581.439, 5, 200000
682.993, 6, 200000
815.178, 7, 200000
769.075, 8, 200000
810.055, 9, 200000
844.172, 10, 200000
910.118, 11, 200000
1019.49, 12, 200000
1022.16, 13, 200000
975.372, 14, 200000
1029.82, 15, 200000
975.829, 16, 200000
135.269, 1, 250000
264.635, 2, 250000
390.948, 3, 250000
480.034, 4, 250000
592.734, 5, 250000
723.037, 6, 250000
851.963, 7, 250000
929.471, 8, 250000
911.471, 9, 250000
1100.21, 10, 250000
986.619, 11, 250000
1094.26, 12, 250000
973.923, 13, 250000
1128.52, 14, 250000
1394.3, 15, 250000
1086.59, 16, 250000
140.159, 1, 300000
251.572, 2, 300000
379.329, 3, 300000
509.929, 4, 300000
606.11, 5, 300000
748.068, 6, 300000
853.653, 7, 300000
964.93, 8, 300000
822.402, 9, 300000
1007.23, 10, 300000
1030.47, 11, 300000
1133.64, 12, 300000
1098.72, 13, 300000
1337.3, 14, 300000
1185.55, 15, 300000
1481.72, 16, 300000
135.825, 1, 350000
265.886, 2, 350000
378.64, 3, 350000
521.708, 4, 350000
661.129, 5, 350000
721.678, 6, 350000
861.418, 7, 350000
1114.49, 8, 350000
873.36, 9, 350000
1044.81, 10, 350000
1091.24, 11, 350000
1360.55, 12, 350000
1235.99, 13, 350000
1089.46, 14, 350000
1500.49, 15, 350000
1453.14, 16, 350000
133.364, 1, 400000
266.371, 2, 400000
