num_threads,vector_size,mfc/s
1, 1000000 ,39.7425," "
2, 1000000 ,68.2082," "
3, 1000000 ,88.3236," "
4, 1000000 ,104.646," "
5, 1000000 ,120.322," "
6, 1000000 ,130.225," "
7, 1000000 ,135.153," "
8, 1000000 ,149.343," "
9, 1000000 ,152.509," "
10, 1000000 ,152.509," "
11, 1000000 ,148.412," "
12, 1000000 ,147.558," "
13, 1000000 ,159.236," "
14, 1000000 ,72.7908," "
15, 1000000 ,132.573," "
16, 1000000 ,147.08," "
1, 2000000 ,45.7666," "
2, 2000000 ,77.1367," "
3, 2000000 ,106.287," "
4, 2000000 ,132.679," "
5, 2000000 ,148.92," "
6, 2000000 ,174.825," "
7, 2000000 ,188.448," "
8, 2000000 ,202.204," "
9, 2000000 ,206.825," "
10, 2000000 ,218.962," "
11, 2000000 ,155.958," "
12, 2000000 ,220.726," "
13, 2000000 ,242.219," "
14, 2000000 ,254.356," "
15, 2000000 ,258.198," "
16, 2000000 ,186.463," "
1, 3000000 ,47.7456," "
2, 3000000 ,85.0847," "
3, 3000000 ,116.239," "
4, 3000000 ,145.497," "
5, 3000000 ,174.085," "
6, 3000000 ,197.096," "
7, 3000000 ,218.388," "
8, 3000000 ,241.332," "
9, 3000000 ,416.435," "
10, 3000000 ,235.812," "
11, 3000000 ,266.288," "
12, 3000000 ,298.716," "
13, 3000000 ,308.261," "
14, 3000000 ,311.462," "
15, 3000000 ,322.893," "
16, 3000000 ,228.05," "
1, 4000000 ,50.8679," "
2, 4000000 ,90.3914," "
3, 4000000 ,111.312," "
4, 4000000 ,155.515," "
5, 4000000 ,184.519," "
6, 4000000 ,211.149," "
7, 4000000 ,235.988," "
8, 4000000 ,254.988," "
9, 4000000 ,272.907," "
10, 4000000 ,174.718," "
11, 4000000 ,317.259," "
12, 4000000 ,328.246," "
13, 4000000 ,336.191," "
14, 4000000 ,258.381," "
15, 4000000 ,356.665," "
16, 4000000 ,294.92," "
1, 5000000 ,52.9751," "
2, 5000000 ,94.2241," "
3, 5000000 ,125.213," "
4, 5000000 ,169.63," "
5, 5000000 ,193.311," "
6, 5000000 ,221.405," "
7, 5000000 ,250.878," "
8, 5000000 ,261.561," "
9, 5000000 ,290.006," "
10, 5000000 ,273.239," "
11, 5000000 ,306.88," "
12, 5000000 ,213.913," "
13, 5000000 ,370.233," "
14, 5000000 ,381.098," "
15, 5000000 ,404.334," "
16, 5000000 ,425.604," "
1, 6000000 ,52.6376," "
2, 6000000 ,86.7503," "
3, 6000000 ,132.121," "
4, 6000000 ,167.411," "
5, 6000000 ,197.681," "
6, 6000000 ,228.397," "
7, 6000000 ,255.907," "
8, 6000000 ,284.333," "
9, 6000000 ,306.216," "
10, 6000000 ,214.431," "
11, 6000000 ,341.841," "
12, 6000000 ,344.669," "
13, 6000000 ,397.009," "
14, 6000000 ,355.766," "
15, 6000000 ,410.032," "
16, 6000000 ,413.166," "
1, 7000000 ,57.6507," "
2, 7000000 ,103.881," "
3, 7000000 ,136.735," "
4, 7000000 ,171.111," "
5, 7000000 ,198.042," "
6, 7000000 ,237.82," "
7, 7000000 ,264.241," "
8, 7000000 ,293.071," "
9, 7000000 ,306.587," "
10, 7000000 ,338.409," "
11, 7000000 ,354.287," "
12, 7000000 ,389.864," "
13, 7000000 ,378.89," "
14, 7000000 ,235.112," "
15, 7000000 ,310.766," "
16, 7000000 ,469.925," "
1, 8000000 ,59.5863," "
2, 8000000 ,87.6367," "
3, 8000000 ,139.266," "
4, 8000000 ,174.711," "
5, 8000000 ,211.881," "
6, 8000000 ,240.565," "
7, 8000000 ,275.34," "
8, 8000000 ,303.836," "
9, 8000000 ,328.677," "
10, 8000000 ,358.327," "
11, 8000000 ,386.978," "
12, 8000000 ,400.521," "
13, 8000000 ,408.309," "
14, 8000000 ,454.985," "
15, 8000000 ,282.865," "
16, 8000000 ,310.426," "
1, 9000000 ,61.4066," "
2, 9000000 ,105.68," "
3, 9000000 ,137.455," "
4, 9000000 ,180.796," "
5, 9000000 ,216.138," "
6, 9000000 ,249.522," "
7, 9000000 ,255.718," "
8, 9000000 ,312.067," "
9, 9000000 ,342.309," "
10, 9000000 ,366.599," "
11, 9000000 ,387.363," "
12, 9000000 ,343.119," "
13, 9000000 ,436.766," "
14, 9000000 ,465.887," "
15, 9000000 ,462.725," "
16, 9000000 ,472.515," "
1, 10000000 ,64.6705," "
2, 10000000 ,106.864," "
3, 10000000 ,145.926," "
4, 10000000 ,183.688," "
5, 10000000 ,221.117," "
6, 10000000 ,253.081," "
7, 10000000 ,301.395," "
8, 10000000 ,318.157," "
9, 10000000 ,318.096," "
10, 10000000 ,372.564," "
11, 10000000 ,350.017," "
12, 10000000 ,431.183," "
13, 10000000 ,457.561," "
14, 10000000 ,456.892," "
15, 10000000 ,493.827," "
16, 10000000 ,457.498," "
